                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
45,1.1797,1.2966,1.459,0.7899,0.80321,0.82614,0.82236,1.664,1.6493,1.8069,0.00094085,0.00094085,0.00094085
46,1.1995,1.2904,1.469,0.81928,0.81275,0.83026,0.82614,1.6826,1.6443,1.7997,0.00092435,0.00092435,0.00092435
47,1.1896,1.2791,1.4628,0.81444,0.83004,0.84727,0.83026,1.6575,1.6236,1.7797,0.00090785,0.00090785,0.00090785
48,1.1863,1.2764,1.4606,0.81678,0.82902,0.83647,0.83647,1.6766,1.6154,1.8016,0.00089134,0.00089134,0.00089134
49,1.1796,1.2599,1.4485,0.83421,0.82098,0.82236,0.83774,1.7005,1.6301,1.8175,0.00087484,0.00087484,0.00087484
50,1.1771,1.2528,1.4483,0.84939,0.84214,0.83774,0.84183,1.7237,1.6245,1.8203,0.00085834,0.00085834,0.00085834
51,1.1602,1.2372,1.4351,0.82664,0.80112,0.84183,0.84679,1.692,1.6678,1.8073,0.00084184,0.00084184,0.00084184
52,1.1454,1.229,1.4285,0.82862,0.81116,0.84679,0.84727,1.6975,1.6201,1.7964,0.00082533,0.00082533,0.00082533
53,1.1572,1.2276,1.4293,0.85729,0.85904,0.86385,0.85444,1.7001,1.6414,1.8481,0.00080883,0.00080883,0.00080883
54,1.1436,1.2143,1.4258,0.86264,0.86004,0.85444,0.86385,1.7009,1.6068,1.8192,0.00079233,0.00079233,0.00079233
55,1.1289,1.1884,1.4132,0.87176,0.8895,0.87669,0.87151,1.7017,1.6405,1.812,0.00077582,0.00077582,0.00077582
56,1.1186,1.1779,1.4011,0.90984,0.87712,0.88588,0.87669,1.7058,1.6836,1.8287,0.00075932,0.00075932,0.00075932
57,1.1073,1.1684,1.4035,0.90116,0.90781,0.87151,0.88588,1.6921,1.609,1.8238,0.00074282,0.00074282,0.00074282
58,1.1153,1.1591,1.3992,0.91634,0.92451,0.90719,0.90719,1.7305,1.6437,1.8746,0.00072631,0.00072631,0.00072631
59,1.1155,1.1424,1.3973,0.94712,0.9299,0.91432,0.91327,1.6689,1.6339,1.7884,0.00070981,0.00070981,0.00070981
60,1.1014,1.1432,1.3874,0.92051,0.91308,0.93319,0.91432,1.7091,1.6612,1.8309,0.00069331,0.00069331,0.00069331
61,1.12,1.1532,1.4044,0.9354,0.90996,0.93427,0.92513,1.6942,1.6567,1.8128,0.0006768,0.0006768,0.0006768
62,1.1002,1.1262,1.3839,0.92414,0.91782,0.9399,0.93115,1.6957,1.6399,1.8442,0.0006603,0.0006603,0.0006603
63,1.0862,1.1238,1.3856,0.93578,0.93545,0.94979,0.93265,1.6776,1.6558,1.8146,0.0006438,0.0006438,0.0006438
64,1.0821,1.1029,1.3665,0.94453,0.93632,0.92513,0.93319,1.6905,1.625,1.8283,0.00062729,0.00062729,0.00062729
65,1.0747,1.1029,1.3648,0.94949,0.9488,0.93265,0.93427,1.6575,1.6286,1.7839,0.00061079,0.00061079,0.00061079
66,1.0735,1.1041,1.3628,0.93591,0.92119,0.94213,0.93659,1.713,1.6166,1.8428,0.00059429,0.00059429,0.00059429
67,1.0724,1.0964,1.3675,0.94339,0.93866,0.91327,0.93746,1.7036,1.6542,1.8516,0.00057778,0.00057778,0.00057778
68,1.068,1.0779,1.3541,0.94578,0.92094,0.93115,0.9399,1.7074,1.6341,1.845,0.00056128,0.00056128,0.00056128
69,1.0583,1.0561,1.3478,0.948,0.91201,0.9472,0.94213,1.6929,1.6345,1.8391,0.00054478,0.00054478,0.00054478
70,1.0469,1.0578,1.3496,0.94095,0.9333,0.93746,0.9472,1.7123,1.6523,1.85,0.00052827,0.00052827,0.00052827
71,1.0499,1.0438,1.3476,0.93963,0.9207,0.93659,0.94979,1.6923,1.6665,1.8293,0.00051177,0.00051177,0.00051177
